
name,description,short_description,price,original_price,sku,stock_quantity,category_id,brand_id,images,features,specifications,is_active,is_featured,weight,dimensions
"HP Spectre x360","Premium 2-in-1 convertible laptop","Versatile convertible with premium design",1199.99,1299.99,"HP-SPECX360-14",10,"","","[""https://images.unsplash.com/photo-1588872657578-7efd1f1555ed?w=500""]","[""360-degree hinge"", ""OLED display option"", ""Premium materials"", ""Long battery life""]","{""processor"": ""Intel Core i7"", ""memory"": ""16GB"", ""storage"": ""512GB SSD"", ""display"": ""14 inch""}",true,false,1.36,"{""width"": 312.6, ""height"": 220.7, ""depth"": 17}"
"AirPods Pro 2nd Gen","Adaptive Audio and personalized spatial audio","Premium wireless earbuds",249.99,279.99,"APPLE-APRO2-USB",50,"","","[""https://images.unsplash.com/photo-1606220588913-b3aacb4d2f46?w=500""]","[""Adaptive Audio"", ""Personalized Spatial Audio"", ""MagSafe charging"", ""Up to 6hrs listening""]","{""battery"": ""6 hours + 24 with case"", ""connectivity"": ""Bluetooth 5.3"", ""charging"": ""MagSafe + Lightning"", ""features"": ""Active Noise Cancellation""}",true,true,0.0056,"{""width"": 21.8, ""height"": 24, ""depth"": 18.5}"
"Nintendo Switch OLED","Enhanced gaming console with OLED screen","Portable gaming console with OLED display",349.99,359.99,"NINTENDO-SW-OLED",25,"","","[""https://images.unsplash.com/photo-1578662996442-48f60103fc96?w=500""]","[""7-inch OLED screen"", ""Enhanced audio"", ""Wide adjustable stand"", ""64GB internal storage""]","{""display"": ""7 inch OLED"", ""storage"": ""64GB"", ""battery"": ""4.5-9 hours"", ""resolution"": ""1280x720""}",true,true,0.42,"{""width"": 242, ""height"": 102, ""depth"": 13.9}"
"Sony A7 IV Camera","Full-frame mirrorless camera for professionals","Professional mirrorless camera",2499.99,2599.99,"SONY-A7IV-BODY",5,"","","[""https://images.unsplash.com/photo-1606983340126-99ab4feaa64a?w=500""]","[""33MP full-frame sensor"", ""4K 60p video"", ""693 phase-detect AF"", ""5-axis stabilization""]","{""sensor"": ""33MP full-frame"", ""video"": ""4K 60p"", ""autofocus"": ""693 points"", ""stabilization"": ""5-axis""}",true,false,0.658,"{""width"": 131.3, ""height"": 96.4, ""depth"": 79.8}"
"Bose QuietComfort 45","Comfortable noise-canceling headphones","Comfortable over-ear headphones",329.99,379.99,"BOSE-QC45-BK",30,"","","[""https://images.unsplash.com/photo-1505740420928-5e560c06d30e?w=500""]","[""World-class noise cancellation"", ""24-hour battery"", ""Comfortable design"", ""EQ adjustable""]","{""battery"": ""24 hours"", ""connectivity"": ""Bluetooth 5.1"", ""weight"": ""238g"", ""controls"": ""Touch and button""}",true,false,0.238,"{""width"": 180, ""height"": 155, ""depth"": 73}"
"Dyson V15 Detect","Advanced cordless vacuum with laser detection","High-performance cordless vacuum",749.99,799.99,"DYSON-V15-DETECT",15,"","","[""https://images.unsplash.com/photo-1558618047-3c8c76ca7d13?w=500""]","[""Laser dust detection"", ""60 minutes runtime"", ""LCD screen"", ""Advanced filtration""]","{""runtime"": ""60 minutes"", ""bin_capacity"": ""0.77L"", ""weight"": ""3.1kg"", ""filtration"": ""HEPA""}",true,true,3.1,"{""width"": 1233, ""height"": 250, ""depth"": 156}"
"Tesla Model Y Phone Mount","Premium phone mount for Tesla vehicles","Tesla-specific phone mount",89.99,99.99,"TESLA-MOUNT-MY",100,"","","[""https://images.unsplash.com/photo-1581833971358-2c8b550f87b3?w=500""]","[""Tesla Model Y specific"", ""Wireless charging"", ""Premium materials"", ""Easy installation""]","{""compatibility"": ""Tesla Model Y"", ""charging"": ""Wireless 15W"", ""material"": ""Aluminum"", ""installation"": ""No tools required""}",true,false,0.3,"{""width"": 120, ""height"": 80, ""depth"": 25}"
"LG UltraWide Monitor 34","Curved ultrawide monitor for productivity","34-inch curved ultrawide monitor",599.99,699.99,"LG-34WK95U-W",12,"","","[""https://images.unsplash.com/photo-1527864550417-7fd91fc51a46?w=500""]","[""34-inch curved display"", ""QHD resolution"", ""USB-C connectivity"", ""HDR10 support""]","{""screen_size"": ""34 inch"", ""resolution"": ""3440x1440"", ""curvature"": ""1900R"", ""refresh_rate"": ""75Hz""}",true,false,7.8,"{""width"": 819.5, ""height"": 471.4, ""depth"": 260.1}"
"Roku Ultra 4K","4K/HDR streaming device with voice remote","Premium 4K streaming device",99.99,109.99,"ROKU-ULTRA-4K",45,"","","[""https://images.unsplash.com/photo-1574375927938-d5a98e8ffe85?w=500""]","[""4K/HDR/Dolby Vision"", ""Voice Remote Pro"", ""Lost remote finder"", ""Ethernet connection""]","{""resolution"": ""4K HDR"", ""connectivity"": ""Wi-Fi 6 + Ethernet"", ""remote"": ""Voice Remote Pro"", ""storage"": ""Internal + microSD""}",true,false,0.13,"{""width"": 101.6, ""height"": 101.6, ""depth"": 21.6}"
"Fitbit Charge 6","Advanced fitness tracker with GPS","Comprehensive fitness tracking",159.99,179.99,"FITBIT-C6-BK",60,"","","[""https://images.unsplash.com/photo-1575311373937-040b8e1fd5b6?w=500""]","[""Built-in GPS"", ""Heart rate monitoring"", ""7-day battery"", ""Water resistant""]","{""battery"": ""7 days"", ""gps"": ""Built-in"", ""water_resistance"": ""50m"", ""sensors"": ""Heart rate, SpO2, stress""}",true,false,0.029,"{""width"": 22.7, ""height"": 35.8, ""depth"": 11.2}"
